"year","vsc"
1973,1.05052403788864
1974,0.952574883782885
1975,0.986296482690482
1976,1.00614099598168
1977,0.827710673714986
1978,0.935706750055031
1979,1.13678168261079
1980,0.94798341917899
1981,0.947957593880764
1982,1.05509881115292
1983,1.12089991711804
1984,1.08882627471448
1985,0.770335205792956
1986,0.929538815247303
1987,0.99567618994355
1988,1.04970111493954
1989,0.968324035954353
1990,1.09699399775118
1991,0.850800455355906
1992,1.02199265143327
1993,0.940407676519799
1994,1.16961420232074
1995,0.95393861798963
1996,1.01387010696205
1997,1.00758929088313
1998,0.957877023416654
1999,0.858996102105986
2000,1.10953516743858
2001,0.905418430074397
2002,1.00374103124115
2003,1.000825996879
2004,1.12487292018785
2005,0.772148766335689
2006,1.12911573609491
2007,1.05087931029657
2008,0.970680586461754
2009,0.648600452776606
2010,1.06503830227317
2011,1.07081200604827
2012,1.16129443271517
2013,0.924729104290264
2014,0.979518244337845
2015,1.11479310211444
2016,0.952560535321868
2017,0.956323644588549
2018,0.778275580832172
2019,0.899513923902314
2020,0.941173924357212
2021,1.11096425578613
2022,0.90669293823867
2023,1.04121542712852
