"","std","res","samp.depth"
"1968",0.959151710925565,NA,5
"1969",0.732843636434818,NA,5
"1970",0.779202504706215,NA,5
"1971",1.14260381464195,1.61353864776304,5
"1972",1.19955964778899,1.47811483147088,6
"1973",1.13278514883197,1.22440600246657,8
"1974",0.755250561143714,0.639063622316594,9
"1975",1.23079394461502,1.78406432204479,10
"1976",1.02397909890304,0.834701181598394,10
"1977",0.828559689452916,0.632375178547217,11
"1978",0.893906095711677,1.07037724993578,15
"1979",1.16104394554963,0.858458771150019,15
"1980",0.923794353818941,0.992915094283922,16
"1981",0.6787037651121,0.692394922989428,16
"1982",1.35261148217661,1.20693256146313,16
"1983",1.10096822839606,1.05137540912868,18
"1984",1.03762196173414,1.06001254003437,20
"1985",0.692478604779621,0.914693962772782,21
"1986",0.851418698555641,0.889175218042839,21
"1987",0.834616658630686,0.912737578089036,26
"1988",1.10185161702386,0.962692612247789,30
"1989",1.10126105273517,0.993743714843486,31
"1990",1.2284878821691,1.15471577550122,33
"1991",0.555628855983513,0.709879585607568,34
"1992",1.04663923942934,1.06019549812358,34
"1993",0.95639969004265,1.0043509367496,34
"1994",0.982310751724853,0.948547121170199,35
"1995",1.00232287558866,1.06031687896495,36
"1996",1.03438620084139,1.01964165042719,38
"1997",0.852165665603244,0.935335954781442,38
"1998",1.14895017338578,1.08817251562031,38
"1999",1.00474898326932,1.04030552340572,38
"2000",1.1243135267159,1.15287933718766,38
"2001",0.585497923478896,0.80768850107293,38
"2002",0.949993443662202,0.944713447845108,38
"2003",0.954991373175818,0.912059509169926,39
"2004",1.36687223105782,1.19070575544538,43
"2005",0.48221332937261,0.621742071319219,44
"2006",1.3155107694192,1.19185199732299,44
"2007",1.06109768280796,1.11373567895554,46
"2008",1.09916431829274,1.07219848584602,48
"2009",0.480692651527098,0.770705174562823,48
"2010",0.98917274262522,0.903521645283595,48
"2011",1.13629322169322,1.02462840008232,49
"2012",1.24672211900829,1.08497212878055,52
"2013",0.971116653696673,1.04656469849219,52
"2014",0.815226595246929,0.900630554173134,52
"2015",0.885889664145875,0.947892092777208,52
"2016",1.05550678857049,0.975591261937174,52
"2017",1.29698684991215,1.19363934779172,52
"2018",0.957352401214971,1.03066506140499,52
"2019",0.72683268921586,0.849139082662168,52
"2020",0.840254679116267,0.876997124234837,52
"2021",1.17569030116271,1.0383420533435,52
"2022",0.925889637723327,0.85710891422107,43
"2023",1.24252912329369,1.13788258854764,12
