"","std","res","samp.depth"
"1973",1.06539749126774,NA,6
"1974",0.943317953784878,NA,6
"1975",0.985518990233475,NA,7
"1976",1.00881421245944,NA,8
"1977",0.80055517176701,NA,8
"1978",0.926605267801177,1.14324716888135,8
"1979",1.16129448446227,0.878898903524416,8
"1980",0.940934263580451,0.844447930632056,8
"1981",0.942069333931116,0.970057904178064,9
"1982",1.06147337750072,1.08706984065518,11
"1983",1.12986161910276,1.12451259926613,13
"1984",1.09757007383186,1.12844172693531,13
"1985",0.743190076249421,0.873598239523268,13
"1986",0.925613491379653,0.986257824479644,14
"1987",0.994870409899544,0.934200963028691,15
"1988",1.04092485641802,0.977701538942676,16
"1989",0.971976150733794,1.05410359686125,18
"1990",1.08971646757887,1.04073742294382,20
"1991",0.844303153913047,0.924119549321126,23
"1992",1.02354047502798,1.02057368065462,26
"1993",0.939222203478022,0.938765172087964,28
"1994",1.16071481705175,1.10428953893064,30
"1995",0.952951015811592,0.944892294080989,32
"1996",1.01950006972262,1.05134702771771,35
"1997",1.01164404944369,1.03711384274602,37
"1998",0.95137780596904,0.99275256031791,38
"1999",0.831208030925313,0.901079864876699,39
"2000",1.16525391771516,1.08634480702283,40
"2001",0.863060429487596,0.858917387631497,42
"2002",1.01092414837873,1.00049559124913,45
"2003",1.006064170754,0.951882837389802,46
"2004",1.18276233817366,1.17859149015616,50
"2005",0.68852045619101,0.790446032694662,55
"2006",1.18106048705122,1.15069424890611,57
"2007",1.0704524286877,1.07441765887155,59
"2008",0.965626935935425,0.98821808628885,61
"2009",0.569974143275343,0.687961184415159,61
"2010",1.07953917609807,1.01061064711833,64
"2011",1.08199023979169,0.999966567527575,67
"2012",1.17589329500291,1.11219636119278,68
"2013",0.920516493069785,0.990055058262276,71
"2014",0.978824923975294,0.983172872882883,71
"2015",1.12292113158867,1.10975657479168,71
"2016",0.950124137226819,0.922334337991038,72
"2017",0.954131154370185,0.978329054425277,72
"2018",0.764624250095098,0.82168212092113,73
"2019",0.89367411954276,0.931970137497787,73
"2020",0.938018321911013,0.935756097861361,73
"2021",1.1187484403662,1.06487335187217,73
"2022",0.900720259515362,0.918491083184401,58
"2023",1.04932715757432,1.04353859524804,16
