"year","vsc"
1968,0.963697570173194
1969,0.759233616454388
1970,0.801117749479818
1971,1.1294421753018
1972,1.1844991718878
1973,1.12608702182485
1974,0.76633138288008
1975,1.2224993916334
1976,1.02332410659481
1977,0.834053566014777
1978,0.89551204393571
1979,1.16047003004609
1980,0.924727937144172
1981,0.675241740783699
1982,1.32605702187507
1983,1.09665325399303
1984,1.03621172351612
1985,0.702253883341724
1986,0.855581877105403
1987,0.82865293053781
1988,1.10537238613628
1989,1.1069445025767
1990,1.24793472359448
1991,0.511471657933394
1992,1.04649248948882
1993,0.955007674645662
1994,0.981326999012024
1995,1.00246769751417
1996,1.03170658118405
1997,0.86998052118302
1998,1.13471078667594
1999,1.00488406258978
2000,1.10795982894538
2001,0.635083280721107
2002,0.955500322963237
2003,0.960368123539213
2004,1.34275901779249
2005,0.519514599047709
2006,1.29658314080627
2007,1.05812460389057
2008,1.09297754623003
2009,0.51010641446545
2010,0.990452363251412
2011,1.12727910748581
2012,1.23724721220784
2013,0.972318098937979
2014,0.822579103556049
2015,0.890522307932388
2016,1.05361076602057
2017,1.28579611285302
2018,0.959234400764384
2019,0.737587532758572
2020,0.846643841246885
2021,1.1691683420777
2022,0.929175217340649
2023,1.22489079534981
