"","vsc","samp.depth"
"1968",0.963697570173194,5
"1969",0.759233616454388,5
"1970",0.801117749479818,5
"1971",1.1294421753018,5
"1972",1.1844991718878,6
"1973",1.12608702182485,8
"1974",0.76633138288008,9
"1975",1.2224993916334,10
"1976",1.02332410659481,10
"1977",0.834053566014777,11
"1978",0.89551204393571,15
"1979",1.16047003004609,15
"1980",0.924727937144172,16
"1981",0.675241740783699,16
"1982",1.32605702187507,16
"1983",1.09665325399303,18
"1984",1.03621172351612,20
"1985",0.702253883341724,21
"1986",0.855581877105403,21
"1987",0.82865293053781,26
"1988",1.10537238613628,30
"1989",1.1069445025767,31
"1990",1.24793472359448,33
"1991",0.511471657933394,34
"1992",1.04649248948882,34
"1993",0.955007674645662,34
"1994",0.981326999012024,35
"1995",1.00246769751417,36
"1996",1.03170658118405,38
"1997",0.86998052118302,38
"1998",1.13471078667594,38
"1999",1.00488406258978,38
"2000",1.10795982894538,38
"2001",0.635083280721107,38
"2002",0.955500322963237,38
"2003",0.960368123539213,39
"2004",1.34275901779249,43
"2005",0.519514599047709,44
"2006",1.29658314080627,44
"2007",1.05812460389057,46
"2008",1.09297754623003,48
"2009",0.51010641446545,48
"2010",0.990452363251412,48
"2011",1.12727910748581,49
"2012",1.23724721220784,52
"2013",0.972318098937979,52
"2014",0.822579103556049,52
"2015",0.890522307932388,52
"2016",1.05361076602057,52
"2017",1.28579611285302,52
"2018",0.959234400764384,52
"2019",0.737587532758572,52
"2020",0.846643841246885,52
"2021",1.1691683420777,52
"2022",0.929175217340649,43
"2023",1.22489079534981,12
