"","vsc","samp.depth"
"1973",1.05052403788864,6
"1974",0.952574883782885,6
"1975",0.986296482690482,7
"1976",1.00614099598168,8
"1977",0.827710673714986,8
"1978",0.935706750055031,8
"1979",1.13678168261079,8
"1980",0.94798341917899,8
"1981",0.947957593880764,9
"1982",1.05509881115292,11
"1983",1.12089991711804,13
"1984",1.08882627471448,13
"1985",0.770335205792956,13
"1986",0.929538815247303,14
"1987",0.99567618994355,15
"1988",1.04970111493954,16
"1989",0.968324035954353,18
"1990",1.09699399775118,20
"1991",0.850800455355906,23
"1992",1.02199265143327,26
"1993",0.940407676519799,28
"1994",1.16961420232074,30
"1995",0.95393861798963,32
"1996",1.01387010696205,35
"1997",1.00758929088313,37
"1998",0.957877023416654,38
"1999",0.858996102105986,39
"2000",1.10953516743858,40
"2001",0.905418430074397,42
"2002",1.00374103124115,45
"2003",1.000825996879,46
"2004",1.12487292018785,50
"2005",0.772148766335689,55
"2006",1.12911573609491,57
"2007",1.05087931029657,59
"2008",0.970680586461754,61
"2009",0.648600452776606,61
"2010",1.06503830227317,64
"2011",1.07081200604827,67
"2012",1.16129443271517,68
"2013",0.924729104290264,71
"2014",0.979518244337845,71
"2015",1.11479310211444,71
"2016",0.952560535321868,72
"2017",0.956323644588549,72
"2018",0.778275580832172,73
"2019",0.899513923902314,73
"2020",0.941173924357212,73
"2021",1.11096425578613,73
"2022",0.90669293823867,58
"2023",1.04121542712852,16
